model,accuracy,precision,recall,f1,roc_auc,confusion_matrix
LogisticRegression,0.9166666666666666,0.7971014492753623,0.7746478873239436,0.7857142857142857,0.9628636873141965,"[[275, 14], [16, 55]]"
XGBoostClassifier,0.9111111111111111,0.7671232876712328,0.7887323943661971,0.7777777777777778,0.9553097129489742,"[[272, 17], [15, 56]]"
GradientBoostingClassifier,0.9111111111111111,0.782608695652174,0.7605633802816901,0.7714285714285715,0.9474145913543545,"[[274, 15], [17, 54]]"
RandomForestClassifier,0.9083333333333333,0.7878787878787878,0.7323943661971831,0.7591240875912408,0.9527754763877383,"[[275, 14], [19, 52]]"
