model,r2,mae,rmse,mape
Ridge,0.7752399209145724,311.07678502203044,399.5592075212259,8.181032002124075
Lasso,0.7752142513344578,311.1601550506372,399.5820234596708,8.183433994999028
LinearRegression,0.7752139979491043,311.16074087195466,399.5822486701308,8.18345454471224
RandomForestRegressor,0.7592457162630589,324.86703368055555,413.5314713074612,8.541712883804545
GradientBoostingRegressor,0.7520196501762393,324.40951515184463,419.69151505738694,8.486425707124754
XGBoostRegressor,0.7448241433826881,330.09299568684895,425.7369510975874,8.612563098339415
