feature,correlation,mutual_info,rf_importance,rfecv,lasso_abs_coef,combined_score,selection_votes
clv_formula_value,1.0,8.64196405056266,0.8898909203115988,1,1501.5116204344454,0.8166624575574998,5.0
netloss_paid_am,0.9978897732745265,1.142104850061987,0.023433209945777404,1,18022.691013650812,0.6312760653822606,5.0
profit,0.9999303466877727,3.8828941096659526,0.07332120320171,1,0.0,0.5063261178073015,4.0
grosslosspaio_am,0.997093853825852,1.0560674879023797,0.012708232933586075,1,1798.9228609198697,0.4466781919106714,4.0
earnedpremium_am,0.13888722655186572,4.6791327641919365,9.948654581262825e-05,1,1297.5752736188915,0.35048776860087866,4.0
monetary,0.14124414796939402,1.8865253987429762,5.666538947832353e-05,1,3962.445247929135,0.3158929185425588,4.0
creditscore,0.007409133621080165,0.01839270502194079,6.004097469864925e-05,1,0.8294104790075455,0.20193015589077506,2.0
discountrate,0.0014181389788459771,0.0,4.771868587198015e-05,1,1.530961005046031,0.20031131246126382,2.0
claimcount_ct,0.7223142537700759,0.5128139888851211,7.853383781229331e-06,0,47.78561429511285,0.15686286569975677,1.0
claim_rate,0.6894032340760066,0.5060965577741323,1.8449664523183255e-05,0,22.798483331738296,0.14985029724934337,1.0
directwrittenpremium_am,0.14124414796939402,1.8865627620726704,1.7408842910682188e-05,0,2713.4135973984926,0.10202430391722339,2.0
admin_expense_am,0.13803342139705552,1.391907795852564,2.900853948324138e-05,0,1269.2079473018193,0.07391049524824786,3.0
coverageamount,0.12024329436102256,0.5506019128770987,1.3018567860756091e-05,0,3323.315073930301,0.0736733061979367,1.0
ppcvrglimit_am,0.12024329436102256,0.5505924226663304,1.5587558399237492e-05,0,3321.5813674000788,0.073654424786364,1.0
customersatisfaction,0.3312504260961792,0.10671915956144984,1.5128929392034294e-06,0,0.17988934457445463,0.06872218176081395,1.0
tax_am,0.1334057838191382,1.5756553464016294,2.9697996180701626e-05,0,4.456576430731724,0.06320247134244486,2.0
average_order_value,0.12236343928558474,1.6698505853180192,7.820209836789225e-06,0,0.47543717974069627,0.06312485608579131,1.0
complaintcount,0.24056742776032775,0.06222803235514829,2.0773921153022265e-06,0,5.6692385238490655,0.04961697179780304,1.0
commission_expense_am,0.09587748704521781,1.2661083679587248,6.569809330342153e-06,0,0.19582758342905213,0.04848052112137242,1.0
complaint_rate,0.22706532489523484,0.05773313133557334,1.8567768081208457e-06,0,26.75005692915035,0.047046413067140025,1.0
monetary_per_tenure,0.1036986825320603,1.0152028377149422,8.900074839133083e-06,0,1.0068659649918574,0.04424760572273571,0.0
engagement_score,0.1969241991037782,0.07859348265481003,3.3211438804337776e-06,0,65.53080573095085,0.04193164047859675,1.0
policy_renewed_flag,0.19184088392354778,0.030900441221626496,1.997839337633226e-06,0,4.552699703948308,0.039134243873061345,0.0
renewal_ratio,0.16611224432887725,0.02750041261784797,1.1561750817769365e-06,0,28.800509126860682,0.034178721212240346,0.0
propertyvalue,0.1146253836363657,0.4848915829876921,9.792457145752417e-06,0,0.5967902695398676,0.034155662245951096,0.0
hazard_score,0.0886646528486231,0.07630705876743438,2.5094927990903516e-05,0,2.167889861272573,0.019528564358559493,0.0
dwellingsquarefeet_ct,0.05958599428336836,0.18660077450744428,1.6616052356248915e-05,0,0.0649160259270444,0.016240105121602812,0.0
home_age_yr,0.0657992991988358,0.014806270433150637,1.3122330331630451e-05,0,0.1645362620271184,0.013507265555078465,0.0
zip,0.0016108551002029148,0.3521665532515632,1.0327953161883065e-05,0,0.0,0.00847461383131781,0.0
policyratedstate_tp,0.0,0.35030800545940854,4.958260228314176e-06,0,0.34661265197447466,0.008112070231409613,0.0
customertenure,0.006361854232405306,0.004904968961533918,3.911063597599562e-06,0,325.1243623346874,0.004994680474140896,1.0
